model,group,group_dataset_count,rank_pos,competitor,ratio,gnn_stage,avg_rank,competitor_dataset_count,source_file
excelformer,large_datasets+binclass+numerical,6,16,tabgnn,0.8/0.15/0.05,none,16.17,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,17,excelformer,0.05/0.15/0.8,start,16.33,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,18,excelformer,0.05/0.15/0.8,materialize,16.67,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,19,tabgnn,0.05/0.15/0.8,none,17.0,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,1,t2g-former,0.8/0.15/0.05,none,1.33,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,2,tabpfn,0.8/0.15/0.05,none,2.0,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,3,excelformer,0.8/0.15/0.05,none,3.67,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,4,catboost,0.8/0.15/0.05,none,4.0,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,5,lightgbm,0.8/0.15/0.05,none,4.33,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,6,xgboost,0.8/0.15/0.05,none,5.67,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,7,catboost,0.05/0.15/0.8,none,8.67,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,8,tabpfn,0.05/0.15/0.8,none,8.67,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,9,t2g-former,0.05/0.15/0.8,none,9.33,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,10,xgboost,0.05/0.15/0.8,none,10.0,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,11,lightgbm,0.05/0.15/0.8,none,10.67,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,12,tabgnn,0.8/0.15/0.05,none,12.33,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,13,excelformer,0.05/0.15/0.8,none,12.67,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,14,excelformer,0.05/0.15/0.8,encoding,13.67,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,15,excelformer,0.05/0.15/0.8,columnwise,14.0,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,16,tabgnn,0.05/0.15/0.8,none,15.33,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,17,excelformer,0.05/0.15/0.8,start,17.0,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,18,excelformer,0.05/0.15/0.8,materialize,18.0,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,19,excelformer,0.05/0.15/0.8,decoding,18.67,3,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,1,tabpfn,0.05/0.15/0.8,none,1.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,2,tabpfn,0.8/0.15/0.05,none,2.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,3,tabgnn,0.05/0.15/0.8,none,3.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,4,tabgnn,0.8/0.15/0.05,none,4.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,5,excelformer,0.05/0.15/0.8,decoding,5.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,6,t2g-former,0.05/0.15/0.8,none,6.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,7,t2g-former,0.8/0.15/0.05,none,7.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,8,excelformer,0.05/0.15/0.8,start,8.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,9,catboost,0.05/0.15/0.8,none,9.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,10,catboost,0.8/0.15/0.05,none,10.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,11,excelformer,0.05/0.15/0.8,materialize,11.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,12,excelformer,0.05/0.15/0.8,none,12.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,13,xgboost,0.05/0.15/0.8,none,13.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,14,xgboost,0.8/0.15/0.05,none,14.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,15,lightgbm,0.05/0.15/0.8,none,15.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,16,lightgbm,0.8/0.15/0.05,none,16.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,17,excelformer,0.05/0.15/0.8,columnwise,17.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,18,excelformer,0.05/0.15/0.8,encoding,18.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,19,excelformer,0.8/0.15/0.05,none,19.0,1,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,1,tabpfn,0.05/0.15/0.8,none,1.6,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,2,tabpfn,0.8/0.15/0.05,none,1.6,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,3,tabgnn,0.05/0.15/0.8,none,3.3,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,4,tabgnn,0.8/0.15/0.05,none,3.7,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,5,excelformer,0.05/0.15/0.8,start,5.7,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,6,excelformer,0.05/0.15/0.8,materialize,6.8,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,7,xgboost,0.05/0.15/0.8,none,9.3,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,8,catboost,0.05/0.15/0.8,none,10.7,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,9,t2g-former,0.05/0.15/0.8,none,10.8,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,10,excelformer,0.05/0.15/0.8,none,11.0,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,11,excelformer,0.05/0.15/0.8,encoding,11.0,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,12,lightgbm,0.05/0.15/0.8,none,11.1,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,13,excelformer,0.05/0.15/0.8,columnwise,11.1,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,14,excelformer,0.05/0.15/0.8,decoding,13.8,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,15,t2g-former,0.8/0.15/0.05,none,14.4,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,16,catboost,0.8/0.15/0.05,none,15.6,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,17,xgboost,0.8/0.15/0.05,none,15.8,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,18,excelformer,0.8/0.15/0.05,none,15.9,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,19,lightgbm,0.8/0.15/0.05,none,16.8,10,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,1,catboost,0.8/0.15/0.05,none,4.07,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,2,tabpfn,0.8/0.15/0.05,none,4.71,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,3,t2g-former,0.8/0.15/0.05,none,4.86,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,4,lightgbm,0.8/0.15/0.05,none,6.0,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,5,excelformer,0.8/0.15/0.05,none,6.21,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,6,xgboost,0.8/0.15/0.05,none,6.21,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,7,tabpfn,0.05/0.15/0.8,none,8.5,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,8,t2g-former,0.05/0.15/0.8,none,9.86,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,9,catboost,0.05/0.15/0.8,none,10.86,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,10,lightgbm,0.05/0.15/0.8,none,10.86,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,11,tabgnn,0.8/0.15/0.05,none,11.43,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,12,xgboost,0.05/0.15/0.8,none,11.57,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,13,tabgnn,0.05/0.15/0.8,none,11.93,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,14,excelformer,0.05/0.15/0.8,none,12.71,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,15,excelformer,0.05/0.15/0.8,columnwise,13.14,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,16,excelformer,0.05/0.15/0.8,start,13.71,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,17,excelformer,0.05/0.15/0.8,encoding,13.79,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,18,excelformer,0.05/0.15/0.8,materialize,14.36,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,19,excelformer,0.05/0.15/0.8,decoding,15.21,14,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,1,t2g-former,0.8/0.15/0.05,none,6.43,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,2,lightgbm,0.05/0.15/0.8,none,6.86,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,3,t2g-former,0.05/0.15/0.8,none,7.14,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,4,tabpfn,0.8/0.15/0.05,none,7.71,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,5,xgboost,0.05/0.15/0.8,none,7.86,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,6,xgboost,0.8/0.15/0.05,none,8.29,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,7,excelformer,0.8/0.15/0.05,none,8.29,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,8,tabpfn,0.05/0.15/0.8,none,8.57,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,9,catboost,0.8/0.15/0.05,none,8.86,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,10,catboost,0.05/0.15/0.8,none,8.86,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,11,excelformer,0.05/0.15/0.8,start,8.86,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,12,tabgnn,0.8/0.15/0.05,none,9.57,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,13,lightgbm,0.8/0.15/0.05,none,10.0,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,14,tabgnn,0.05/0.15/0.8,none,10.14,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,15,excelformer,0.05/0.15/0.8,columnwise,10.86,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,16,excelformer,0.05/0.15/0.8,none,12.71,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,17,excelformer,0.05/0.15/0.8,encoding,12.71,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,18,excelformer,0.05/0.15/0.8,decoding,18.0,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,19,excelformer,0.05/0.15/0.8,materialize,18.29,7,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,1,tabpfn,0.8/0.15/0.05,none,3.29,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,2,t2g-former,0.8/0.15/0.05,none,4.18,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,3,xgboost,0.8/0.15/0.05,none,4.68,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,4,catboost,0.8/0.15/0.05,none,5.11,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,5,lightgbm,0.8/0.15/0.05,none,5.68,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,6,excelformer,0.8/0.15/0.05,none,7.07,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,7,t2g-former,0.05/0.15/0.8,none,9.71,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,8,tabpfn,0.05/0.15/0.8,none,10.18,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,9,catboost,0.05/0.15/0.8,none,10.46,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,10,tabgnn,0.8/0.15/0.05,none,10.79,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,11,lightgbm,0.05/0.15/0.8,none,11.61,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,12,excelformer,0.05/0.15/0.8,columnwise,12.18,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,13,excelformer,0.05/0.15/0.8,none,12.32,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,14,excelformer,0.05/0.15/0.8,start,13.07,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,15,excelformer,0.05/0.15/0.8,encoding,13.18,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,16,xgboost,0.05/0.15/0.8,none,13.36,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,17,tabgnn,0.05/0.15/0.8,none,13.36,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,18,excelformer,0.05/0.15/0.8,materialize,14.25,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,19,excelformer,0.05/0.15/0.8,decoding,15.54,28,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,1,tabgnn,0.05/0.15/0.8,none,3.17,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,2,excelformer,0.05/0.15/0.8,decoding,6.67,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,3,excelformer,0.05/0.15/0.8,materialize,7.33,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,4,tabpfn,0.05/0.15/0.8,none,7.5,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
