variant,chosen_csv,n_unique,rank,group
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/UCI_Climate_Model_Simulation_Crashes/UCI_Climate_Model_Simulation_Crashes.csv,2,14,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/UCI_HCV_data/UCI_HCV_data.csv,2,5,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/UCI_Parkinson_Dataset_with_replicated_acoustic_features/UCI_Parkinson_Dataset_with_replicated_acoustic_features.csv,2,102,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/UCI_Quality_Assessment_of_Digital_Colposcopies/UCI_Quality_Assessment_of_Digital_Colposcopies.csv,2,26,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/UCI_User_Knowledge_Modeling/UCI_User_Knowledge_Modeling.csv,2,29,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_Audit_Data/kaggle_Audit_Data.csv,2,82,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_Breast_Cancer_Dataset/kaggle_Breast_Cancer_Dataset.csv,2,46,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_Collection_of_Classification___Regression_Datasets_House_Price_/kaggle_Collection_of_Classification___Regression_Datasets_House_Price_.csv,2,17,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_Compositions_of_Glass/kaggle_Compositions_of_Glass.csv,2,86,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_Development_Index/kaggle_Development_Index.csv,2,30,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_Penguins_Classified/kaggle_Penguins_Classified.csv,2,16,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_Pima_Indians_Diabetes_with_null_values/kaggle_Pima_Indians_Diabetes_with_null_values.csv,2,6,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_Real_Estate_DataSet/kaggle_Real_Estate_DataSet.csv,2,5,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_chronic_kidney_disease/kaggle_chronic_kidney_disease.csv,2,5,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_fitbit_dataset/kaggle_fitbit_dataset.csv,2,57,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/openml_Diabetes_Data_Set/openml_Diabetes_Data_Set.csv,2,10,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/openml_Indian_Liver_Patient_Patient_Records_KFolds_5folds/openml_Indian_Liver_Patient_Patient_Records_KFolds_5folds.csv,2,8,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/openml_Intersectional_Bias_Assessment__Testing_Data_/openml_Intersectional_Bias_Assessment__Testing_Data_.csv,2,11,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/openml_Pima_Indians_Diabetes/openml_Pima_Indians_Diabetes.csv,2,1,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/openml_Pokmon_Legendary_Data/openml_Pokmon_Legendary_Data.csv,2,91,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/openml_Swiss_banknote_conterfeit_detection/openml_Swiss_banknote_conterfeit_detection.csv,2,63,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/openml_analcatdata_lawsuit/openml_analcatdata_lawsuit.csv,2,3,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/openml_hungarian/openml_hungarian.csv,2,14,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/openml_nki70.arff/openml_nki70.arff.csv,2,102,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/openml_tokyo1/openml_tokyo1.csv,2,9,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/large_datasets/binclass/numerical/MagicTelescope/MagicTelescope.csv,2,41,large_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/large_datasets/binclass/numerical/bank_marketing/bank_marketing.csv,2,58,large_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/large_datasets/binclass/numerical/binarized_pol/binarized_pol.csv,2,62,large_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/large_datasets/binclass/numerical/credit/credit.csv,2,9,large_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/large_datasets/binclass/numerical/higgs_small/higgs_small.csv,2,61,large_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/large_datasets/binclass/numerical/road_safety/road_safety.csv,2,14,large_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/large_datasets/multiclass/numerical/eye/eye.csv,3,16,large_datasets+multiclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/large_datasets/multiclass/numerical/helena/helena.csv,100,74,large_datasets+multiclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/large_datasets/multiclass/numerical/jannis/jannis.csv,4,55,large_datasets+multiclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/balanced/UCI_Absenteeism_at_work/UCI_Absenteeism_at_work.csv,2,38,small_datasets+binclass+balanced
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/balanced/UCI_Heart_failure_clinical_records/UCI_Heart_failure_clinical_records.csv,2,113,small_datasets+binclass+balanced
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/balanced/UCI_QSAR_Bioconcentration_classes_dataset/UCI_QSAR_Bioconcentration_classes_dataset.csv,2,33,small_datasets+binclass+balanced
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/balanced/UCI_Z_Alizadeh_Sani/UCI_Z_Alizadeh_Sani.csv,2,110,small_datasets+binclass+balanced
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/balanced/UCI_extention_of_Z_Alizadeh_sani_dataset/UCI_extention_of_Z_Alizadeh_sani_dataset.csv,2,32,small_datasets+binclass+balanced
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/balanced/kaggle_Analytics_Vidhya_Loan_Prediction/kaggle_Analytics_Vidhya_Loan_Prediction.csv,2,16,small_datasets+binclass+balanced
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/balanced/kaggle_Automobiles/kaggle_Automobiles.csv,2,103,small_datasets+binclass+balanced
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/balanced/kaggle_Bigg_Boss_India/kaggle_Bigg_Boss_India.csv,2,15,small_datasets+binclass+balanced
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/balanced/kaggle_Campus_Recruitment/kaggle_Campus_Recruitment.csv,2,63,small_datasets+binclass+balanced
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/balanced/kaggle_Credit_Card_Approval/kaggle_Credit_Card_Approval.csv,2,2,small_datasets+binclass+balanced
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/balanced/kaggle_Customer_Classification/kaggle_Customer_Classification.csv,2,62,small_datasets+binclass+balanced
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/balanced/kaggle_Store_Data_Performance/kaggle_Store_Data_Performance.csv,2,104,small_datasets+binclass+balanced
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/balanced/openml_Heart_disease_classification/openml_Heart_disease_classification.csv,2,39,small_datasets+binclass+balanced
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/balanced/openml_analcatdata_creditscore/openml_analcatdata_creditscore.csv,2,102,small_datasets+binclass+balanced
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/categorical/UCI_Early_stage_diabetes_risk_prediction_dataset/UCI_Early_stage_diabetes_risk_prediction_dataset.csv,2,25,small_datasets+binclass+categorical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/categorical/kaggle_Horse_Colic_Dataset__with_test_file_/kaggle_Horse_Colic_Dataset__with_test_file_.csv,2,106,small_datasets+binclass+categorical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/categorical/kaggle_Startup_Success_Prediction/kaggle_Startup_Success_Prediction.csv,2,8,small_datasets+binclass+categorical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/categorical/kaggle_The_Estonia_Disaster_Passenger_List/kaggle_The_Estonia_Disaster_Passenger_List.csv,2,6,small_datasets+binclass+categorical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/categorical/openml_DiabeticMellitus/openml_DiabeticMellitus.csv,2,111,small_datasets+binclass+categorical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/categorical/openml_The_Estonia_Disaster_Passenger_List/openml_The_Estonia_Disaster_Passenger_List.csv,2,41,small_datasets+binclass+categorical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/categorical/openml_student_grade_pass_or_fail_prediction/openml_student_grade_pass_or_fail_prediction.csv,2,29,small_datasets+binclass+categorical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/UCI_Audit_Data/UCI_Audit_Data.csv,2,21,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/UCI_Breast_Cancer_Coimbra/UCI_Breast_Cancer_Coimbra.csv,2,105,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/UCI_Cervical_cancer__Risk_Factors_/UCI_Cervical_cancer__Risk_Factors_.csv,2,29,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/UCI_Climate_Model_Simulation_Crashes/UCI_Climate_Model_Simulation_Crashes.csv,2,14,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/UCI_HCV_data/UCI_HCV_data.csv,2,5,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/UCI_Parkinson_Dataset_with_replicated_acoustic_features/UCI_Parkinson_Dataset_with_replicated_acoustic_features.csv,2,102,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/UCI_Quality_Assessment_of_Digital_Colposcopies/UCI_Quality_Assessment_of_Digital_Colposcopies.csv,2,26,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/UCI_User_Knowledge_Modeling/UCI_User_Knowledge_Modeling.csv,2,29,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_Audit_Data/kaggle_Audit_Data.csv,2,82,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_Breast_Cancer_Dataset/kaggle_Breast_Cancer_Dataset.csv,2,46,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_Collection_of_Classification___Regression_Datasets_House_Price_/kaggle_Collection_of_Classification___Regression_Datasets_House_Price_.csv,2,17,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_Compositions_of_Glass/kaggle_Compositions_of_Glass.csv,2,86,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_Development_Index/kaggle_Development_Index.csv,2,30,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_Penguins_Classified/kaggle_Penguins_Classified.csv,2,16,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_Pima_Indians_Diabetes_with_null_values/kaggle_Pima_Indians_Diabetes_with_null_values.csv,2,6,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_Real_Estate_DataSet/kaggle_Real_Estate_DataSet.csv,2,5,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_chronic_kidney_disease/kaggle_chronic_kidney_disease.csv,2,5,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/kaggle_fitbit_dataset/kaggle_fitbit_dataset.csv,2,57,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/openml_Diabetes_Data_Set/openml_Diabetes_Data_Set.csv,2,10,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/openml_Indian_Liver_Patient_Patient_Records_KFolds_5folds/openml_Indian_Liver_Patient_Patient_Records_KFolds_5folds.csv,2,8,small_datasets+binclass+numerical
"resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)",/home/shangyuan/ModelComparison/TaBLEau/datasets/small_datasets/binclass/numerical/openml_Intersectional_Bias_Assessment__Testing_Data_/openml_Intersectional_Bias_Assessment__Testing_Data_.csv,2,11,small_datasets+binclass+numerical
